,Table,Row,Description,Special
1,application_data,SK_ID_CURR,ID of loan in our sample,
2,application_data,TARGET,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)",
5,application_data,NAME_CONTRACT_TYPE,Identification if loan is cash or revolving,
6,application_data,CODE_GENDER,Gender of the client,
7,application_data,FLAG_OWN_CAR,Flag if the client owns a car,
8,application_data,FLAG_OWN_REALTY,Flag if client owns a house or flat,
9,application_data,CNT_CHILDREN,Number of children the client has,
10,application_data,AMT_INCOME_TOTAL,Income of the client,
11,application_data,AMT_CREDIT,Credit amount of the loan,
12,application_data,AMT_ANNUITY,Loan annuity,
13,application_data,AMT_GOODS_PRICE,For consumer loans it is the price of the goods for which the loan is given,
14,application_data,NAME_TYPE_SUITE,Who was accompanying client when he was applying for the loan,
15,application_data,NAME_INCOME_TYPE,"Clients income type (businessman, working, maternity leave,…)",
16,application_data,NAME_EDUCATION_TYPE,Level of highest education the client achieved,
17,application_data,NAME_FAMILY_STATUS,Family status of the client,
18,application_data,NAME_HOUSING_TYPE,"What is the housing situation of the client (renting, living with parents, ...)",
19,application_data,REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region),normalized 
20,application_data,DAYS_BIRTH,Client's age in days at the time of application,time only relative to the application
21,application_data,DAYS_EMPLOYED,How many days before the application the person started current employment,time only relative to the application
22,application_data,DAYS_REGISTRATION,How many days before the application did client change his registration,time only relative to the application
23,application_data,DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan,time only relative to the application
24,application_data,OWN_CAR_AGE,Age of client's car,
25,application_data,FLAG_MOBIL,"Did client provide mobile phone (1=YES, 0=NO)",
26,application_data,FLAG_EMP_PHONE,"Did client provide work phone (1=YES, 0=NO)",
27,application_data,FLAG_WORK_PHONE,"Did client provide home phone (1=YES, 0=NO)",
28,application_data,FLAG_CONT_MOBILE,"Was mobile phone reachable (1=YES, 0=NO)",
29,application_data,FLAG_PHONE,"Did client provide home phone (1=YES, 0=NO)",
30,application_data,FLAG_EMAIL,"Did client provide email (1=YES, 0=NO)",
31,application_data,OCCUPATION_TYPE,What kind of occupation does the client have,
32,application_data,CNT_FAM_MEMBERS,How many family members does client have,
33,application_data,REGION_RATING_CLIENT,"Our rating of the region where client lives (1,2,3)",
34,application_data,REGION_RATING_CLIENT_W_CITY,"Our rating of the region where client lives with taking city into account (1,2,3)",
35,application_data,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for the loan,
36,application_data,HOUR_APPR_PROCESS_START,Approximately at what hour did the client apply for the loan,rounded
37,application_data,REG_REGION_NOT_LIVE_REGION,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)",
38,application_data,REG_REGION_NOT_WORK_REGION,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)",
39,application_data,LIVE_REGION_NOT_WORK_REGION,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)",
40,application_data,REG_CITY_NOT_LIVE_CITY,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)",
41,application_data,REG_CITY_NOT_WORK_CITY,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)",
42,application_data,LIVE_CITY_NOT_WORK_CITY,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)",
43,application_data,ORGANIZATION_TYPE,Type of organization where client works,
44,application_data,OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default,
45,application_data,DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) ,
46,application_data,OBS_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 60 DPD (days past due) default,
47,application_data,DEF_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,
48,application_data,DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone,
49,application_data,FLAG_DOCUMENT_2,Did client provide document 2,
50,application_data,FLAG_DOCUMENT_3,Did client provide document 3,
51,application_data,FLAG_DOCUMENT_4,Did client provide document 4,
52,application_data,FLAG_DOCUMENT_5,Did client provide document 5,
53,application_data,FLAG_DOCUMENT_6,Did client provide document 6,
54,application_data,FLAG_DOCUMENT_7,Did client provide document 7,
55,application_data,FLAG_DOCUMENT_8,Did client provide document 8,
56,application_data,FLAG_DOCUMENT_9,Did client provide document 9,
57,application_data,FLAG_DOCUMENT_10,Did client provide document 10,
58,application_data,FLAG_DOCUMENT_11,Did client provide document 11,
59,application_data,FLAG_DOCUMENT_12,Did client provide document 12,
60,application_data,FLAG_DOCUMENT_13,Did client provide document 13,
61,application_data,FLAG_DOCUMENT_14,Did client provide document 14,
62,application_data,FLAG_DOCUMENT_15,Did client provide document 15,
63,application_data,FLAG_DOCUMENT_16,Did client provide document 16,
64,application_data,FLAG_DOCUMENT_17,Did client provide document 17,
65,application_data,FLAG_DOCUMENT_18,Did client provide document 18,
66,application_data,FLAG_DOCUMENT_19,Did client provide document 19,
67,application_data,FLAG_DOCUMENT_20,Did client provide document 20,
68,application_data,FLAG_DOCUMENT_21,Did client provide document 21,
69,application_data,AMT_REQ_CREDIT_BUREAU_HOUR,Number of enquiries to Credit Bureau about the client one hour before application,
70,application_data,AMT_REQ_CREDIT_BUREAU_DAY,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),
71,application_data,AMT_REQ_CREDIT_BUREAU_WEEK,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),
72,application_data,AMT_REQ_CREDIT_BUREAU_MON,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),
73,application_data,AMT_REQ_CREDIT_BUREAU_QRT,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),
74,application_data,AMT_REQ_CREDIT_BUREAU_YEAR,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),
75,previous_application.csv,SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit) ",hashed
76,previous_application.csv,SK_ID_CURR,ID of loan in our sample,hashed
77,previous_application.csv,NAME_CONTRACT_TYPE,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",
78,previous_application.csv,AMT_ANNUITY,Annuity of previous application,
79,previous_application.csv,AMT_APPLICATION,For how much credit did client ask on the previous application,
80,previous_application.csv,AMT_CREDIT,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",
81,previous_application.csv,AMT_DOWN_PAYMENT,Down payment on the previous application,
82,previous_application.csv,AMT_GOODS_PRICE,Goods price of good that client asked for (if applicable) on the previous application,
83,previous_application.csv,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for previous application,
84,previous_application.csv,HOUR_APPR_PROCESS_START,Approximately at what day hour did the client apply for the previous application,rounded
85,previous_application.csv,FLAG_LAST_APPL_PER_CONTRACT,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract,
86,previous_application.csv,NFLAG_LAST_APPL_IN_DAY,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice,
87,previous_application.csv,NFLAG_MICRO_CASH,Flag Micro finance loan,
88,previous_application.csv,RATE_DOWN_PAYMENT,Down payment rate normalized on previous credit,normalized
89,previous_application.csv,RATE_INTEREST_PRIMARY,Interest rate normalized on previous credit,normalized
90,previous_application.csv,RATE_INTEREST_PRIVILEGED,Interest rate normalized on previous credit,normalized
91,previous_application.csv,NAME_CASH_LOAN_PURPOSE,Purpose of the cash loan,
92,previous_application.csv,NAME_CONTRACT_STATUS,"Contract status (approved, cancelled, ...) of previous application",
93,previous_application.csv,DAYS_DECISION,Relative to current application when was the decision about previous application made,time only relative to the application
94,previous_application.csv,NAME_PAYMENT_TYPE,Payment method that client chose to pay for the previous application,
95,previous_application.csv,CODE_REJECT_REASON,Why was the previous application rejected,
96,previous_application.csv,NAME_TYPE_SUITE,Who accompanied client when applying for the previous application,
97,previous_application.csv,NAME_CLIENT_TYPE,Was the client old or new client when applying for the previous application,
98,previous_application.csv,NAME_GOODS_CATEGORY,What kind of goods did the client apply for in the previous application,
99,previous_application.csv,NAME_PORTFOLIO,"Was the previous application for CASH, POS, CAR, …",
100,previous_application.csv,NAME_PRODUCT_TYPE,Was the previous application x-sell o walk-in,
101,previous_application.csv,CHANNEL_TYPE,Through which channel we acquired the client on the previous application,
102,previous_application.csv,SELLERPLACE_AREA,Selling area of seller place of the previous application,
103,previous_application.csv,NAME_SELLER_INDUSTRY,The industry of the seller,
104,previous_application.csv,CNT_PAYMENT,Term of previous credit at application of the previous application,
105,previous_application.csv,NAME_YIELD_GROUP,Grouped interest rate into small medium and high of the previous application,grouped
106,previous_application.csv,PRODUCT_COMBINATION,Detailed product combination of the previous application,
107,previous_application.csv,DAYS_FIRST_DRAWING,Relative to application date of current application when was the first disbursement of the previous application,time only relative to the application
108,previous_application.csv,DAYS_FIRST_DUE,Relative to application date of current application when was the first due supposed to be of the previous application,time only relative to the application
109,previous_application.csv,DAYS_LAST_DUE_1ST_VERSION,Relative to application date of current application when was the first due of the previous application,time only relative to the application
110,previous_application.csv,DAYS_LAST_DUE,Relative to application date of current application when was the last due date of the previous application,time only relative to the application
111,previous_application.csv,DAYS_TERMINATION,Relative to application date of current application when was the expected termination of the previous application,time only relative to the application
112,previous_application.csv,NFLAG_INSURED_ON_APPROVAL,Did the client requested insurance during the previous application,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
